addressDetail,cityName,pro,rownum,storeName
北京路与新华路交汇处友好购物中心肯德基餐厅,博乐市,"Wi-Fi,店内参观,礼品卡",39,博乐友好
北京东路308号恒茂梦时代国际广场三号楼一层,南昌市,"Wi-Fi,点唱机,店内参观,礼品卡",40,梦时代
北京西路508号万达广场一层1001A,荆州市,"点唱机,礼品卡",41,荆州万达
北京路与建设路交汇处,淮安市,"Wi-Fi,店内参观,礼品卡",42,洪泽大润发
西湖区北京西路156号一层洪城大厦肯德基,南昌市,"Wi-Fi,点唱机,礼品卡",43,洪城大厦
北京南路433号大寨沟福润德一楼肯德基餐厅,乌鲁木齐市,"Wi-Fi,点唱机,店内参观,礼品卡",44,福润德餐厅
飞鸿里北京东路3栋友好时尚购物中心1-2层,伊犁哈萨克自治州,,45,奎屯友好餐厅
北京路与欣欣路交叉口大润发超市一层,徐州市,"Wi-Fi,点唱机,店内参观",46,徐州泉山大润发
龙湖北京大兴天街商业楼三层3F-10a铺位,北京市,"Wi-Fi,店内参观",47,大兴龙湖
(可达鸭玩具已经售完)北京北路19号,徐州市,"24小时,点唱机,店内参观",48,徐州铜山万达
北京西客站南站房东附楼一层105号铺位、104铺位和二层204铺位,北京市,"Wi-Fi,点唱机",49,西站南广场二号
尹家渠街东侧、枕水路南侧北京华联悦海新天地购物中心一层,银川市,"Wi-Fi,点唱机,手机点餐",50,银川悦海
发展大道与北京路延长线交汇处,十堰市,"Wi-Fi,点唱机,店内参观",51,万达电话18571740284
通达北街以西北京路以北新华联广场1层、4层,银川市,"Wi-Fi,手机点餐",52,银川新华联
北京路西端头高铁站候车大厅二楼,沧州市,"Wi-Fi,点唱机",53,沧州高铁站
北京路西、西南大道北和安.宁春城一期,北海市,"24小时,Wi-Fi,点唱机,店内参观",54,北海宁春城
宣堡北052381560366(往北京方向),泰州市,Wi-Fi,55,宣堡服务区北
北京中路46号西郊百益超市一层,拉萨市,"Wi-Fi,点唱机",56,西郊百益餐厅
越秀区北京路168号二层自编B201/L201号铺,广州市,"Wi-Fi,点唱机,店内参观",57,北京路天河城（原仰忠汇）
阎村镇乐活家园45号楼一层109号商铺、二层109号商铺、二层108号商铺,北京市,"Wi-Fi,店内参观",58,北京肯德基有限公司紫码路餐厅
"北京中路47号1,2层",拉萨市,Wi-Fi,59,拉萨功德林天街
电话：0315-6561129，,唐山市,"Wi-Fi,精选店",60,肯德基精选1（北京方向）
北京东三路18号橘洲一号（2栋负一楼商铺）首层,茂名市,"24小时,Wi-Fi,点唱机,店内参观",61,橘洲一号
五堰街办北京北路83A号1幢2-1,十堰市,"Wi-Fi,点唱机",62,十堰远洋国际
大兴区北京大兴国际机场国际抵港区域,北京市,Wi-Fi,63,新机场2号
沅陵县辰州中路北京公馆2栋1层,怀化市,"Wi-Fi,点唱机,店内参观",64,胜利门
北京西路与金阳南路交界处西南角,贵阳市,"Wi-Fi,点唱机",65,观山湖印象城
北京南路（原新城路22号）万达广场一层1030号商铺,宿迁市,"Wi-Fi,点唱机",66,沭阳万达
丰台区北京南站高架层东南角,北京市,精选店,67,北京南站九
北京西路66号万达广场1031号商铺,贵阳市,"Wi-Fi,点唱机",68,贵阳数博万达
北京西路66号万达广场1031号商铺,贵阳市,"Wi-Fi,点唱机",69,贵阳数博万达
北京西路与政府北路交叉口北斗星城2期1-3#栋一层,铜陵市,Wi-Fi,70,皖江环球港
北京华联华联购物中心一楼肯德基,西宁市,Wi-Fi,71,西宁长江路餐厅
北京西路与政府北路交叉口北斗星城2期1-3#栋一层,铜陵市,Wi-Fi,72,皖江环球港
北京华联华联购物中心一楼肯德基,西宁市,Wi-Fi,73,西宁长江路餐厅
辽中县京哈高速公路沿线辽中服务区北侧一层（北京方向）,沈阳市,Wi-Fi,74,辽中服务区外卖点(北京方向）
辽中县京哈高速公路沿线辽中服务区北侧一层（北京方向）,沈阳市,Wi-Fi,75,辽中服务区外卖点(北京方向）
回族自治区北京中路192号CCpark店一层1D23铺,银川市,"Wi-Fi,店内参观",76,新百CCPARK
回族自治区北京中路192号CCpark店一层1D23铺,银川市,"Wi-Fi,店内参观",77,新百CCPARK
来广营北京龙湖蓝海引擎产业园一层【L1-007】,北京市,"Wi-Fi,店内参观",78,红军营
来广营北京龙湖蓝海引擎产业园一层【L1-007】,北京市,"Wi-Fi,店内参观",79,红军营
北京路十堰环球港1B层A08,十堰市,"Wi-Fi,点唱机,店内参观,手机点餐",80,十堰环球港
北京路十堰环球港1B层A08,十堰市,"Wi-Fi,点唱机,店内参观,手机点餐",81,十堰环球港
北京路十堰环球港1B层A08,十堰市,"Wi-Fi,点唱机,店内参观,手机点餐",82,十堰环球港
北京路十堰环球港1B层A08,十堰市,"Wi-Fi,点唱机,店内参观,手机点餐",83,十堰环球港
"02商铺阜石路与北辛安路交汇处东南角的北京金安中海环宇荟地上一层的L101,L1",北京市,"Wi-Fi,店内参观",84,金安桥中海
"02商铺阜石路与北辛安路交汇处东南角的北京金安中海环宇荟地上一层的L101,L1",北京市,"Wi-Fi,店内参观",85,金安桥中海
北京站内一层大厅中间区域LED显示屏下,北京市,精选店,86,北京站精选四
北京站内一层大厅中间区域LED显示屏下,北京市,精选店,87,北京站精选四
回族自治区北京东路新城吾悦广场【1002、1003】号商铺,银川市,"Wi-Fi,店内参观",88,银川兴庆吾悦
北京中路239号人信汇一层123号商铺,荆州市,"24小时,点唱机,手机点餐",89,荆州人信汇
北京中路239号人信汇一层123号商铺,荆州市,"24小时,点唱机,手机点餐",90,荆州人信汇
天马路与北京路交叉锦隆财富中心一层,红河哈尼族彝族自治州,"Wi-Fi,点唱机,手机点餐",91,锦隆财富中心
4号附属商业空间一层鸠江区弋江路与北京中路交叉口西北侧轨道交通2号线一期神山口站S2-1,芜湖市,"Wi-Fi,精选店",92,神山口轻轨站
北京中路11号功德林天街1楼,拉萨市,手机点餐,93,功德林天街
天马路与北京路交叉锦隆财富中心一层,红河哈尼族彝族自治州,"Wi-Fi,点唱机,手机点餐",94,锦隆财富中心
4号附属商业空间一层鸠江区弋江路与北京中路交叉口西北侧轨道交通2号线一期神山口站S2-1,芜湖市,"Wi-Fi,精选店",95,神山口轻轨站
平房镇姚家园路与青年北路交叉口西北京姚家园万象汇B110号商铺,北京市,手机点餐,96,青年北路
北京中路11号功德林天街1楼,拉萨市,手机点餐,97,功德林天街
城西区北京中路以南百益超市一层（北京中路46号）,拉萨市,手机点餐,98,西郊百益
城西区北京中路以南百益超市一层（北京中路46号）,拉萨市,手机点餐,99,西郊百益
北京经济技术开发区鹿海园四里9号楼106室,北京市,"Wi-Fi,店内参观",100,博兴七路
平房镇姚家园路与青年北路交叉口西北京姚家园万象汇B110号商铺,北京市,手机点餐,101,青年北路
北京经济技术开发区鹿海园四里9号楼106室,北京市,"Wi-Fi,店内参观",102,博兴七路
